panel_key,panel_title,parameter_name,parameter_label,scenario,parameter_value,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,mean_attack_probability,terminal_public_belief_mean
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,8,-29.282256367177737,11.155145282734379,-48.30000000000001,0.9037500000000003,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,9,-30.927417912101077,11.781873490324223,-54.33750000000001,0.9037500000000003,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,10,-32.32580522528592,12.31459246677559,-60.375000000000014,0.9037500000000003,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,11,-33.51443444149303,12.767403596759252,-66.41250000000002,0.9037500000000004,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,12,-34.52476927526908,13.152293057245364,-72.45000000000002,0.9037500000000004,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,13,-35.38355388397872,13.47944909865856,-78.48750000000001,0.9037500000000004,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,14,-36.11352080138192,13.757531733859775,-84.525,0.9037500000000004,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,15,-36.733992681174634,13.993901973780808,-90.5625,0.9037500000000004,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,1,-7.297727272727274,2.3000000000000007,-7.297727272727274,0.9125,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,2,-13.500795454545457,4.255000000000001,-14.595454545454547,0.9125,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,3,-18.77340340909091,5.916750000000001,-21.893181818181823,0.9125,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,4,-23.255120170454546,7.329237500000001,-29.190909090909095,0.9125,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,5,-27.064579417613636,8.529851875000002,-36.48863636363637,0.9125,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,6,-30.302619777698865,9.550374093750003,-43.78636363636364,0.9125,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,7,-33.05495408377131,10.417817979687504,-51.08409090909091,0.9124999999999999,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,8,-35.39443824393288,11.155145282734379,-58.38181818181818,0.9124999999999999,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,9,-37.38299978007022,11.781873490324223,-65.67954545454546,0.9124999999999999,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,10,-39.07327708578696,12.31459246677559,-72.97727272727273,0.9124999999999999,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,11,-40.51001279564619,12.767403596759252,-80.275,0.9124999999999998,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,12,-41.73123814902653,13.152293057245364,-87.57272727272728,0.9124999999999998,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,14.0,13,-42.769279699399824,13.47944909865856,-94.87045454545455,0.9124999999999998,0.6500003500000001
